Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,EloHome,EloAway
G1,09/02/03,OFI,Akratitos,2,0,H,0,0,D,,,,1.4,3.5,5.6,1.533,3.6,5.0,,,,,,,,,,,,,1491.59,1354.29
G1,09/02/03,Olympiakos,Iraklis,2,1,H,1,0,H,1.2,5.0,10.0,1.3,3.8,7.5,1.286,4.333,8.5,1.3,4.3,7.5,1.6,2.05,,,,,,,,1780.73,1497.35
G1,09/02/03,Panahaiki,Panionios,0,2,A,0,1,A,3.15,3.15,2.02,3.0,2.9,2.0,3.4,3.25,1.909,,,,1.9,1.7,,,,,,,,1344.56,1543.95
G1,09/02/03,Panathinaikos,AEK,2,1,H,1,1,D,1.92,3.1,3.5,2.0,2.9,3.0,2.1,3.0,3.2,2.1,2.9,3.2,1.85,1.75,,,,,,,,1742.34,1674.48
G1,15/02/03,Egaleo,Panahaiki,4,0,H,2,0,H,1.55,3.4,5.3,1.5,3.1,5.2,1.533,3.4,5.5,,,,1.75,1.85,,,,,,,,1432.78,1335.54
G1,15/02/03,Giannina,Aris,0,1,A,0,0,D,2.4,3.0,2.65,2.7,2.9,2.2,2.5,3.1,2.5,,,,1.9,1.7,,,,,,,,1375.18,1497.83
G1,16/02/03,AEK,Xanthi,3,2,H,0,0,D,1.25,4.75,8.5,1.35,3.6,6.5,1.3,4.333,8.0,1.4,3.75,6.5,1.65,1.95,,,,,,,,1667.59,1517.4
G1,16/02/03,Akratitos,Olympiakos,2,5,A,1,1,D,8.5,4.75,1.25,8.0,3.6,1.3,8.0,4.5,1.286,,,,1.6,2.0,,,,,,,,1349.21,1783.21
G1,16/02/03,Iraklis,Panionios,3,1,H,1,1,D,1.95,3.0,3.6,2.3,2.9,2.5,2.1,3.1,3.1,2.15,3.0,3.0,1.85,1.75,,,,,,,,1494.87,1552.97
G1,16/02/03,Panathinaikos,Ionikos,1,0,H,0,0,D,1.1,7.0,13.0,1.1,6.5,13.0,1.111,6.5,15.0,,,,,,,,,,,,,1749.23,1392.75
G1,16/02/03,PAOK,OFI,2,0,H,1,0,H,1.33,4.0,8.0,1.45,3.2,5.5,1.333,4.0,8.0,1.4,3.75,6.5,1.7,1.9,,,,,,,,1633.37,1496.67
G1,16/02/03,Proodeftiki,Kalithea,1,1,D,0,0,D,1.85,3.15,3.7,1.9,2.9,3.2,1.85,3.25,3.6,,,,1.85,1.75,,,,,,,,1419.86,1386.91
G1,22/02/03,OFI,Proodeftiki,2,0,H,1,0,H,1.6,3.4,4.9,1.6,3.0,4.6,1.615,3.4,4.5,,,,1.8,1.8,,,,,,,,1491.57,1415.3
G1,22/02/03,Panionios,Egaleo,1,0,H,0,0,D,1.65,3.35,4.6,,,,,,,,,,1.7,1.9,,,,,,,,1541.97,1438.86
G1,23/02/03,Akratitos,Iraklis,0,2,A,0,2,A,2.7,3.25,2.25,2.7,2.9,2.2,2.625,3.1,2.3,,,,1.9,1.7,,,,,,,,1346.02,1505.87
G1,23/02/03,Aris,Panathinaikos,1,3,A,0,2,A,3.5,3.2,1.9,2.7,2.9,2.2,3.5,3.1,1.909,3.4,2.9,2.0,1.85,1.75,,,,,,,,1509.52,1750.91
G1,23/02/03,Kalithea,AEK,1,3,A,1,3,A,6.0,3.75,1.45,4.2,3.0,1.65,4.5,3.4,1.615,,,,1.75,1.85,,,,,,,,1391.47,1672.38
G1,23/02/03,Olympiakos,PAOK,4,3,H,2,1,H,1.5,3.65,5.5,1.6,3.0,4.6,1.533,3.3,5.5,1.5,3.45,5.5,1.55,2.15,,,,,,,,1786.4,1638.47
G1,23/02/03,Panahaiki,Giannina,0,2,A,0,2,A,2.25,3.25,2.7,2.2,2.9,2.7,2.25,3.1,2.75,,,,1.9,1.7,,,,,,,,1329.46,1363.49
G1,23/02/03,Xanthi,Ionikos,0,0,D,0,0,D,1.55,3.5,5.2,1.65,3.0,4.2,1.571,3.4,5.0,,,,1.85,1.75,,,,,,,,1512.61,1391.07
G1,01/03/03,Iraklis,Egaleo,2,1,H,2,1,H,1.45,3.65,6.65,1.45,3.3,5.5,1.444,3.6,6.5,,,,1.7,1.9,,,,,,,,1516.24,1432.93
G1,01/03/03,Xanthi,Aris,0,2,A,0,0,D,2.35,3.2,2.65,2.3,2.9,2.5,2.4,3.1,2.625,2.4,2.9,2.65,1.9,1.7,,,,,,,,1505.57,1501.84
G1,01/03/03,Giannina,Panionios,1,2,A,0,1,A,2.55,3.15,2.45,2.4,2.9,2.4,2.5,3.1,2.5,,,,1.9,1.7,,,,,,,,1378.34,1547.9
G1,02/03/03,AEK,OFI,3,1,H,0,0,D,1.3,4.45,8.1,1.25,4.0,9.0,1.222,5.0,9.0,1.25,4.25,9.0,1.65,1.95,,,,,,,,1678.9,1498.22
G1,02/03/03,Ionikos,Kalithea,1,1,D,1,1,D,2.0,3.25,3.25,1.9,3.0,3.1,2.0,3.2,3.2,,,,1.95,1.65,,,,,,,,1398.11,1384.95
G1,02/03/03,Panathinaikos,Panahaiki,2,0,H,2,0,H,1.05,8.75,18.0,1.05,8.0,16.0,1.05,8.0,21.0,,,,,,,,,,,,,1758.59,1314.61
G1,02/03/03,PAOK,Akratitos,1,1,D,0,0,D,1.15,6.2,12.0,1.1,6.5,13.0,1.083,7.5,15.0,,,,,,,,,,,,,1633.63,1335.65
G1,02/03/03,Proodeftiki,Olympiakos,1,3,A,0,1,A,8.1,4.45,1.3,7.5,3.8,1.3,8.0,4.333,1.3,,,,1.7,1.9,,,,,,,,1408.65,1791.24
G1,08/03/03,Panahaiki,Xanthi,0,2,A,0,2,A,3.15,3.15,2.05,2.9,2.9,2.1,3.0,3.2,2.1,,,,1.9,1.7,,,,,,,,1313.56,1489.45
G1,09/03/03,Akratitos,Proodeftiki,2,1,H,0,0,D,2.45,3.1,2.55,2.3,2.9,2.5,2.375,3.1,2.625,,,,1.8,1.8,,,,,,,,1345.85,1404.54
G1,09/03/03,Egaleo,Giannina,2,1,H,2,1,H,1.7,3.2,4.5,1.65,3.1,4.0,,,,,,,1.85,1.75,,,,,,,,1426.47,1368.31
G1,09/03/03,Kalithea,Aris,0,2,A,0,0,D,2.7,3.1,2.3,2.7,2.9,2.2,2.7,3.1,2.3,,,,1.9,1.7,,,,,,,,1388.88,1517.96
G1,09/03/03,Olympiakos,AEK,1,2,A,0,1,A,1.85,3.3,3.75,1.75,3.1,3.6,1.85,3.25,3.6,1.7,3.35,4.0,1.65,1.95,,,,,,,,1795.35,1683.04
G1,09/03/03,Panionios,Panathinaikos,0,0,D,0,0,D,4.5,3.3,1.66,4.5,3.3,1.55,4.333,3.4,1.667,5.7,3.4,1.5,1.8,1.8,,,,,,,,1557.93,1759.64
G1,09/03/03,PAOK,Iraklis,0,1,A,0,1,A,1.6,3.4,4.75,1.6,3.2,4.2,1.571,3.4,5.25,1.6,3.4,4.6,1.65,1.95,,,,,,,,1623.43,1522.7
G1,15/03/03,Kalithea,Panahaiki,3,1,H,1,1,D,1.42,3.85,6.0,1.5,3.4,4.7,1.44,3.6,6.5,,,,1.85,1.75,,,,,,,,1377.42,1303.75
G1,15/03/03,Xanthi,Panionios,0,1,A,0,1,A,2.3,3.2,2.65,2.2,2.9,2.7,2.3,3.1,2.75,2.3,2.95,2.75,1.95,1.65,,,,,,,,1499.26,1561.49
G1,16/03/03,AEK,Akratitos,6,2,H,2,2,D,1.16,5.75,11.0,1.15,5.5,11.0,1.1,7.0,13.0,,,,1.45,2.35,,,,,,,,1702.35,1356.87
G1,16/03/03,Aris,OFI,1,1,D,1,1,D,1.58,3.4,5.0,1.5,3.4,4.7,1.57,3.5,5.0,1.6,3.2,5.0,1.9,1.7,,,,,,,,1529.42,1494.08
G1,16/03/03,Ionikos,Olympiakos,0,2,A,0,1,A,7.75,3.9,1.35,6.2,3.8,1.35,8.0,4.33,1.3,,,,1.6,2.05,,,,,,,,1394.18,1776.04
G1,16/03/03,Iraklis,Giannina,3,0,H,0,0,D,1.35,4.35,6.5,1.3,4.0,7.0,1.33,4.0,8.0,,,,1.7,1.9,,,,,,,,1541.71,1361.14
G1,16/03/03,Panathinaikos,Egaleo,3,0,H,1,0,H,1.16,5.75,11.0,1.15,5.5,11.0,1.12,6.0,15.0,,,,1.6,2.05,,,,,,,,1756.08,1433.64
G1,16/03/03,Proodeftiki,PAOK,0,3,A,0,0,D,3.8,3.25,1.8,3.6,3.1,1.75,3.6,3.25,1.85,,,,1.85,1.75,,,,,,,,1393.52,1604.42
G1,22/03/03,Akratitos,Ionikos,1,0,H,0,0,D,2.2,3.1,2.8,2.2,2.9,2.7,2.25,3.1,2.8,,,,1.9,1.7,,,,,,,,1355.08,1390.06
G1,22/03/03,PAOK,AEK,0,1,A,0,0,D,2.25,3.1,2.7,2.3,2.9,2.5,2.3,3.1,2.7,2.3,3.0,2.7,1.7,1.9,,,,,,,,1613.06,1704.14
G1,23/03/03,Egaleo,Xanthi,0,0,D,0,0,D,2.2,3.1,2.8,2.2,2.9,2.7,2.2,3.1,2.875,,,,1.9,1.7,,,,,,,,1431.62,1485.41
G1,23/03/03,Olympiakos,Aris,1,0,H,0,0,D,1.25,4.5,9.0,1.25,4.3,8.0,1.25,4.75,8.5,1.3,4.4,7.0,1.55,2.15,,,,,,,,1780.16,1524.78
G1,23/03/03,Panahaiki,OFI,0,2,A,0,1,A,3.85,3.3,1.75,,,,,,,,,,1.85,1.75,,,,,,,,1297.03,1498.72
G1,23/03/03,Panionios,Kalithea,2,0,H,1,0,H,1.35,3.85,7.5,1.35,3.5,6.5,1.333,4.2,7.5,,,,1.8,1.8,,,,,,,,1575.34,1384.14
G1,23/03/03,Proodeftiki,Iraklis,1,0,H,1,0,H,3.1,3.1,2.05,,,,2.875,3.1,2.2,,,,1.9,1.7,,,,,,,,1384.88,1545.86
G1,23/03/03,Giannina,Panathinaikos,0,0,D,0,0,D,8.25,4.1,1.3,7.0,4.0,1.3,7.0,4.0,1.364,,,,1.8,1.8,,,,,,,,1356.99,1758.1
G1,29/03/03,OFI,Ionikos,2,1,H,1,1,D,,,,,,,,,,,,,,,,,,,,,,1507.66,1379.87
G1,05/04/03,AEK,Proodeftiki,4,1,H,0,1,A,1.1,6.5,13.5,1.1,6.5,13.0,1.143,6.0,12.0,,,,1.55,2.05,,,,,,,,1716.96,1399.55
G1,05/04/03,Aris,Akratitos,4,1,H,3,1,H,1.47,3.75,5.25,1.45,3.3,5.5,1.444,3.75,6.0,,,,1.75,1.85,,,,,,,,1521.92,1365.27
G1,05/04/03,Ionikos,PAOK,4,0,H,1,0,H,3.65,3.25,1.8,3.7,3.0,1.75,3.75,3.2,1.833,,,,1.8,1.8,,,,,,,,1374.56,1600.24
G1,06/04/03,Iraklis,Panathinaikos,0,3,A,0,0,D,3.3,3.2,1.9,3.1,3.0,1.9,3.6,3.25,1.85,3.3,3.1,1.95,1.9,1.7,,,,,,,,1531.19,1749.35
G1,06/04/03,Kalithea,Egaleo,2,1,H,2,1,H,,,,1.85,3.0,3.3,,,,,,,,,,,,,,,,1380.2,1429.97
G1,06/04/03,OFI,Panionios,1,1,D,1,1,D,,,,2.2,2.9,2.7,2.25,3.1,2.8,2.25,2.9,2.85,,,,,,,,,,1512.97,1579.28
G1,06/04/03,Panahaiki,Olympiakos,1,4,A,1,0,H,,,,16.0,8.0,1.05,,,,,,,,,,,,,,,,1288.09,1783.02
G1,06/04/03,Xanthi,Giannina,3,3,D,2,0,H,1.65,3.3,4.3,,,,1.8,3.1,4.0,,,,1.85,1.75,,,,,,,,1487.06,1365.74
G1,12/04/03,Akratitos,Panahaiki,3,0,H,1,0,H,,,,,,,,,,,,,,,,,,,,,,1360.62,1285.76
G1,12/04/03,Proodeftiki,Ionikos,0,0,D,0,0,D,2.0,3.2,3.0,1.9,2.8,3.3,,,,,,,1.95,1.65,,,,,,,,1397.48,1391.39
G1,12/04/03,Giannina,Kalithea,1,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,,1372.78,1390.91
G1,13/04/03,AEK,Iraklis,6,1,H,2,0,H,1.33,4.0,7.0,1.25,4.3,8.0,1.2,5.0,10.0,1.3,4.25,7.5,1.65,1.95,,,,,,,,1719.03,1522.78
G1,13/04/03,Egaleo,OFI,0,4,A,0,2,A,2.3,2.9,2.75,2.3,2.9,2.5,2.3,3.0,2.75,,,,1.9,1.7,,,,,,,,1419.26,1511.76
G1,13/04/03,Panathinaikos,Xanthi,1,0,H,0,0,D,1.15,5.5,11.0,1.15,5.5,11.0,1.143,6.0,11.0,1.15,6.0,10.0,,,,,,,,,,1757.76,1480.02
G1,13/04/03,Panionios,Olympiakos,0,0,D,0,0,D,4.15,3.4,1.65,4.0,3.1,1.65,5.0,3.4,1.571,4.1,3.25,1.7,1.8,1.8,,,,,,,,1580.49,1785.35
G1,13/04/03,PAOK,Aris,2,0,H,0,0,D,1.9,3.15,3.35,2.0,2.9,3.0,2.0,3.1,3.2,1.85,3.15,3.5,1.9,1.7,,,,,,,,1583.41,1526.57
G1,19/04/03,Aris,Proodeftiki,2,1,H,0,0,D,1.3,4.45,8.7,1.45,3.5,5.0,1.3,4.0,8.0,,,,,,,,,,,,,1519.36,1393.78
G1,19/04/03,Iraklis,Xanthi,2,0,H,0,0,D,1.5,3.6,6.0,1.55,3.3,4.5,1.533,3.4,5.0,1.55,3.5,4.75,1.8,1.8,,,,,,,,1518.94,1477.47
G1,20/04/03,Ionikos,AEK,0,3,A,0,1,A,7.75,3.9,1.38,5.5,3.6,1.4,6.5,3.6,1.4,,,,1.7,1.9,,,,,,,,1395.09,1722.87
G1,20/04/03,Kalithea,Panathinaikos,1,3,A,0,0,D,9.5,4.5,1.28,8.0,3.6,1.3,8.5,4.333,1.25,,,,1.65,1.95,,,,,,,,1381.3,1760.31
G1,20/04/03,OFI,Giannina,1,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,,1524.53,1382.39
G1,20/04/03,Olympiakos,Egaleo,4,0,H,3,0,H,1.05,8.0,22.0,1.05,8.0,16.0,,,,,,,,,,,,,,,,1781.69,1406.49
G1,20/04/03,Panahaiki,PAOK,2,2,D,0,0,D,,,,,,,,,,,,,,,,,,,,,,1279.07,1590.62
G1,20/04/03,Panionios,Akratitos,1,1,D,0,1,A,1.45,3.5,6.65,1.45,3.5,5.0,,,,,,,1.85,1.75,,,,,,,,1584.15,1367.31
G1,03/05/03,AEK,Aris,4,0,H,3,0,H,1.25,5.0,8.5,1.15,6.0,7.2,1.167,5.5,11.0,1.25,4.8,7.5,1.65,1.95,,,,,,,,1728.18,1524.72
G1,03/05/03,PAOK,Panionios,3,0,H,1,0,H,1.75,3.2,4.25,1.85,3.0,3.3,1.75,3.3,3.8,1.95,3.1,3.3,1.85,1.75,,,,,,,,1583.83,1575.12
G1,04/05/03,Egaleo,Akratitos,3,1,H,2,1,H,2.15,2.8,3.35,,,,,,,,,,,,,,,,,,,1404.97,1376.34
G1,04/05/03,Ionikos,Iraklis,2,4,A,1,2,A,2.45,3.25,2.45,,,,2.4,3.25,2.5,,,,,,,,,,,,,1389.78,1526.61
G1,04/05/03,Panathinaikos,OFI,5,1,H,2,0,H,1.08,7.0,14.0,1.05,7.0,13.0,,,,1.1,7.0,12.0,,,,,,,,,,1764.49,1529.5
G1,04/05/03,Proodeftiki,Panahaiki,1,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,,1388.42,1285.86
G1,04/05/03,Xanthi,Kalithea,3,0,H,1,0,H,1.85,3.4,3.5,,,,,,,,,,,,,,,,,,,1469.8,1377.12
G1,04/05/03,Giannina,Olympiakos,0,3,A,0,2,A,14.0,6.5,1.12,10.0,6.0,1.1,,,,,,,,,,,,,,,,1377.42,1783.21
G1,10/05/03,OFI,Xanthi,2,0,H,1,0,H,1.8,3.2,3.85,,,,1.8,3.25,3.75,1.8,3.15,3.75,,,,,,,,,,1526.33,1476.0
G1,10/05/03,Panionios,Proodeftiki,2,0,H,0,0,D,1.35,4.0,7.25,,,,1.25,4.5,9.0,,,,,,,,,,,,,1566.41,1394.36
G1,11/05/03,Akratitos,Giannina,3,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,,1368.27,1373.75
G1,11/05/03,Aris,Ionikos,2,0,H,0,0,D,,,,,,,1.333,4.0,7.5,,,,,,,,,,,,,1521.01,1378.6
G1,11/05/03,Egaleo,PAOK,2,3,A,0,1,A,,,,,,,,,,,,,,,,,,,,,,1413.04,1592.54
G1,11/05/03,Iraklis,Kalithea,2,1,H,0,1,A,,,,1.3,4.0,7.0,1.333,4.0,7.5,,,,,,,,,,,,,1537.79,1370.92
G1,11/05/03,Olympiakos,Panathinaikos,3,0,H,2,0,H,2.15,3.0,3.15,2.2,2.9,3.0,2.25,3.0,3.0,2.25,2.85,2.9,1.9,1.7,,,,,,,,1786.88,1767.66
G1,11/05/03,Panahaiki,AEK,0,2,A,0,0,D,,,,10.0,6.0,1.1,,,,,,,,,,,,,,,,1279.92,1731.89
G1,24/05/03,Aris,Iraklis,2,1,H,0,0,D,2.2,3.0,3.0,2.2,3.1,2.5,2.1,3.2,3.0,,,,,,,,,,,,,1525.97,1542.22
G1,24/05/03,Proodeftiki,Egaleo,1,1,D,1,1,D,2.15,3.0,3.1,,,,2.1,3.1,3.1,,,,,,,,,,,,,1390.04,1403.35
G1,25/05/03,AEK,Panionios,4,2,H,3,2,H,1.25,4.8,9.0,1.3,4.4,5.6,1.3,4.5,7.5,,,,,,,,,,,,,1734.8,1570.73
G1,25/05/03,Ionikos,Panahaiki,3,0,H,0,0,D,,,,,,,,,,,,,,,,,,,,,,1373.64,1277.01
G1,25/05/03,Kalithea,OFI,2,0,H,2,0,H,1.2,5.0,10.0,,,,,,,,,,,,,,,,,,,1366.49,1533.74
G1,25/05/03,Panathinaikos,Akratitos,3,1,H,2,1,H,1.05,9.0,18.0,1.05,9.0,9.0,1.04,8.0,26.0,,,,,,,,,,,,,1759.29,1377.45
G1,25/05/03,Xanthi,Olympiakos,1,5,A,1,3,A,19.0,9.0,1.03,9.0,9.0,1.05,17.0,8.5,1.05,,,,,,,,,,,,,1468.59,1795.25
G1,25/05/03,Giannina,PAOK,3,2,H,1,2,A,,,,,,,,,,,,,,,,,,,,,,1364.57,1602.23
